bizarre;etrange, sortant de l'habituel
afficher;poser une ou des affiches
assurer;garantir la realisation de quelque chose
abimer;endommager, deteriorer
allouer;attribuer, fournir
arbre;vegetal à la tige ligneuse formant un tronc
abandon ;Nom masculin singulier...fait de quitter un lieu, une personne
casser;Verbe ...briser, mettre en morceaux...provoquer une fracture d'un membre...interrompre une relation, une emission, etc...annuler un jugement, un acte...
abaisser;diminuer, baisser,faire descendre un objet, par exemple un levier, une manette, un siege 
manger; Verbe...mâcher et avaler un aliment...se nourrir, prendre un repas
agiter;Remuer, secouer de maniere irreguliere
anormal;qui presente des troubles mentaux
bibliotheque;Meuble destine au rangement des livres
couronne;ornement de tête en forme de cercle, fabriqué avec du metal precieux, des fleurs, des feuilles de laurier
donner;offrir, transférer un bien du donateur au donataire
election;choix exprimé à l'aide d'un vote
fourmi;petit insecte hymenoptere vivant en colonies tres organisées et hierarchisees dans les fourmilieres
gérer;administrer certains intérêts
hache;outil ou arme, constitue d'une partie tranchante en fer fixee à l'extremite d'un manche, destine a fendre
identifier;trouver la designation exacte d'un individu, d'un objet
aimer;éprouver de l'amour, de l'affection, de la tendresse
aspirer;prétendre à, porter ses désirs vers, tendre vers / faire entrer l'air, inhaler
jouer;se livrer à des jeux pour se distraire, faire une partie
zoo;jardin zoologique lieu où l'on presente des animaux sauvages au public
uniforme;vêtement propre à une catégorie de personnel
abandonner;quitter un lieu, quelqu'un
bouger;remuer, faire des mouvements
